简体中文,Bahasa Indonesia,English
称重点检上限(g),Klaim sebagai batas pemeriksaan utama(g),weighing(g),
称重点检下限(g),Menimbang batas bawah uji berat badan(g),Lower limit of weighing inspection(g),
复投次数,Jumlah entri ulang,Duplicate count,
注液前重量,Berat sebelum injeksi,Injectio before weightn,
注液量范围,Kisaran volume injeksi,Injection range,
注液量发送结果,Hasil pengiriman volume injeksi cairan,Injection sending result,
输入补液称重量,Masukkan penimbangan larutan rehidrasi,Input replenish liquid weight,
进站,masuk,Intbound,
MES状态,Status MES,MES Status,
已传MES,MES ditransmisikan,IsUploaded MES ,
NG 信息Informasi NG,NG info,
一注出站重量(g),Satu catatan tentang berat keluar(g),One otubound weight(g),
出站,Keluar stasiun,Outbound,
出站结果,Hasil keluar,Outbound result,
生产时间,waktu produksi,Production time,
阶段,titik,Stage,
阶段结果,Hasil panggung,Stage result ,
更新时间,waktu pembaruan,Update time,
新建设备,Peralatan baru,Create Device,
编辑设备,Peralatan editorial,Edit Device,
原材料代码：,Kode bahan：,Materail code：,
注液过多：,multi-cairan：,Excessive injection：,
注液信息,Informasi injeksi,Inject info,
注液合格：,cair memenuhi syarat：,Inject pass：,
注液总数：,Jumlah total suntikan：,Inject total：,
注液过少：,di bawah infus：,Insufficient injection：,
上次清零时间：,waktu nol：,Last reset time：,
NG信息,Informasi NG,NG info,
全工序NG占比：,Saham NG：,NG Ppoportion：,
合格率,Menilai,Rate,
总数(个)：,agregat：,Total：,
实时日志,Log waktu nyata,Current Logs,
数据库日志,Log basis data,Database Logs,
数据库超时日志,Log waktu habis basis data,Database Tomeout Logs,
设备报警日志,Log Alarm Perangkat,Device Alarm Logs,
MES日志,Log MES,MES Logs,
运行日志,menjalankan log,Runing Logs,
修改设置日志,Memodifikasi Log Pengaturan,Update setting Logs,
设备管理,manajemen peralatan,Device management,
显示配置,Tampilkan Konfigurasi,Display config,
系统配置,Konfigurasi Sistem,System config,
报警原因及时间上报接口,Alasan alarm,Upload alarm info,
产品结果数据收集接口_单条,Data hasil produk(mono),Product result data (single item),
产品结果数据收集接口_批量,Data hasil produk(batch),Product result data (Batch),
工单获取接口,Akuisisi Perintah Kerja,Get orderBy product code,
开机上传参数接口,Memulai Upload,Upload control parameters on device startup,
设备上位机账号登录接口,Login akun perangkat,MES login,
设备状态上报接口,Laporan Status Peralatan,Upload equipment status,
生产确认接口,Konfirmasi produksi,Production start,
修改参数上传接口,Mengubah parameter,Upload latest parameters,
原材料上料接口,Antarmuka bahan baku,Material load,
原材料卸料接口,Penghapusan Bahan,Material unLoad,
间隔时间(ms),Interval waktu(ms),Interval(ms),
接口名称,Nama antarmuka,Interface name,
MQTT端口,Port MQTT,MQTT port,
MQTT服务地址,Alamat Layanan MQTT,MQTT server,
OEE数据收集接口,Pengumpulan Data OEE,OEE data collection,
MES结果参数,Parameter Hasil MES,MES result parameter,
路由地址,Alamat rute,Routing address,
服务器,Server,Server,
服务器地址1,Alamat server 1,Server address1,
服务器地址2,Alamat pelayan 2,Server address2,
MES开机参数,Parameter start MES,MES startup parameter,
测试接口,Pengujian antarmuka,Interface test,
MQTT主题,Topik MQTT,MQTT Topic,
MES连续NG次数,MES beruntun NG kali,MES Continuous NG times,
A相电流(A):,A fase arus(A):,A-phase current(A):,
A相电压(V):,Tegangan fase A(V):,A-phase voltage(V):,
有功功率(W):,Daya yang kuat(W):,Active power(W):,
***复选框指定是否显示，鼠标右键选中一个或多个后按住鼠标左键拖动显示顺序***, *** kotak centang menentukan apakah tampilan tombol kanan mouse memilih satu atau lebih setelah menekan dan menahan tombol kiri mouse untuk menyeret urutan tampilan ***,*** Check box specifies whether to display，right-click to select one or more，then hold down the left mouse button and drag the display order***,
B相电流(A):,B fase arus(A):,B-phase current(A):,
B相电压(V):,Tegangan fase B(V):,B-phase voltage(V):,
C相电流(A):,C fase arus(A):,C-phase current(A):,
C相电压(V):,Tegangan fase C(V):,C-phase voltage(V):,
取消,Batalkan,Cancel,
计算,Perhitungan,Compute,
确定,Pasti,Confirm,
复制,Salin,Copy,
新建,Buat Baru,Create,
删除,Hapus,Delete,
禁用,Menonaktifkan,Disabled,
显示,Tampilkan,Display,
显示列,Tampilkan kolom,Display columns,
编辑,Edit,Edit,
启用,Aktifkan,Enable,
输入条码搜索...,Masukkan kode batang  pencarian...,Enter barcode search...,
导出,Ekspor,Export,
导入,Impor,Import,
手工输入条码,Masukkan kode batang secara,Manually input barcode,
手工补液称重,Penimbangan manual,Manually weighing,
占比：,Persentase：,Percentage：,
功耗,Konsumsi daya,Power waste,
查询,Tanya,Query,
查询结果,Hasil Pencarian,Query result,
返回数据:,Kembalikan Data:,Receive data:,
重置,Mengatur ulang,Reset,
反选,menentang pemilihan,Reverse selection,
保存,Simpan,Save,
发送,Kirim,Send,
发送数据(JSON):,Kirim data(JSON):,Send data(JSON):,
测试,Pengujian,Test,
超时时间(ms),Timelapse(ms),Time out(ms),
有功总电能(kWh):,Total listrik yang(kWh):,Total electrical energy(kWh):,
未定义,Tidak didefinisikan,Undefined,
修正密封钉,Perbaiki segel kuku,Correcting sealing nail,
每页显示,Tampilkan setiap halaman,Display per page,
MES前称NG出站,MES sebelumnya disebut NG Exit,MES before Weight NG Outbound,
MES进站+MES出站,MES masuk + MES keluar,MES Inbound and outbound,
MES合格品出站,MES Kualifikasi Keluar,MES OK Outbound,
MES密封钉NG出站,ES segel kuku NG keluar,MES sealing nail NG Outbound,
MES后称NG出站,MES kemudian disebut NG keluar,MES after Weight NG Outbound,
MES短路NG出站,MES singkat NG keluar,MES ShortCircuit NG Outbound,
MES回氦NG出站,MES Kembali ke Stasiun Helium NG,MES helium NG Outbound,
后称重上限(g)：,Penimbangan maksimum(g)：,After Weight upperssss(g)：,
后称重下限(g)：,Nilai minimal setelah timbangan(g)：,After Weight Lower(g)：,
前称重下限(g)：,Berat minimal sebelumnya (g)：,Before weight lower(g)：,
前称重上限(g)：,Berat maksimum sebelumnya (g)：,Before weight upper(g)：,
注液量下限(g)：,Jumlah injeksi min(g)：,Injection lowe(g)：,
注液量标准(g)：,Standar jumlah injeksi(g)：,Injection standard(g)：,
注液量上限(g)：,Jumlah injeksi Max(g)：,Injection upper(g)：,
新建交互信号,Sinyal Interaksi Baru,Ceeate Interaction Signal,
编辑交互信号,Edit Sinyal Interaksi,Edit Interaction Signal,
新建切除信号,Sinyal Penghapusan Baru,Create Resection Signal,
编辑切除信号,Edit sinyal penghapusan,Edit Resection Signal,
新建扫描信号,Sinyal pemindaian baru,Create scanning signal,
编辑扫描信号,Edit sinyal pemindaian,Edit scanning signal,
登陆,Pendatangan,Login,
登陆MES,Pendarahan MES,Login MES,
注销,Daftar keluar,Logout,
注销MES,Penghentian MES,Logout MES,
运行中...,Jalankan...,Running...,
已停止...,Dihentikan...,Stopped...,
用户登陆,Login Pengguna,User login,
打开当前日志,Buka log saat ini,Open current log,
打开日志位置,Buka Lokasi Log,Open log location,
语言设置,Pengaturan bahasa,Language settings,
更新,Pembaruan,Renew,
备份,Back up,Backup,
还原,Kembalikan,Reduction,
用户,Pengguna,User,
部门,Departemen,Department,
电话,Telepon,Telephone,
上次登陆时间,Waktu pendaratan terakhir,Last login time,
注册时间,Waktu pendaftaran,Registration time,
更新时间,Waktu Pembaruan,Update time,
创建部门,Membuat Departemen,Create department,
*****需保存方可生效*****, **** Perlu disimpan untuk berlaku ****,*****Need to save before it takes effect*****,
部门名称,Nama Departemen,Department name,
删除部门,Hapus departemen,Delete department,
菜单,Menu,Menu,
全选,Pilih Semua,Select all ,
前称重检测状态,Status deteksi berat sebelumnya,Pre weighing status,
后称重检测状态,Status deteksi bobot pasca,Post weighing status,
设备列表,Daftar Perangkat,Device list,
新建设备,Peralatan baru,New device,
状态,Keadaan,State,
工序,Prosedur kerja,Process,
设备索引,Indeks Perangkat,Device index,
服务名,Nama layanan,Service name,
连接类型,Jenis koneksi,Connection type,
设备通讯类型,Jenis komunikasi perangkat,Device communication type,
设备型号,Model Peralatan,Device model,
IP或COM,IP atau COM,IP or COM,
端口,Pelabuhan,Port,
Ping时间(ms),Waktu ping (ms),Ping time (ms),
Ping结果,Hasil ping,Ping results,
PLC服务,Layanan PLC,PLC services,
新建服务,Layanan baru,Create new service,
导入服务触发信号列表,Mengimpor daftar sinyal pemicu layanan,Import service trigger signal list,
删 除,Hapus,Delete,
服务名称,Nama layanan,Service name,
设备通信类型,Jenis komunikasi perangkat,Device communication type,
起始标签,Tag pembuka,Start tag,
信号长度,Panjang sinyal,Signal length,
切除长度,Panjang eksisi,Resection length,
寻址方式,Metode pengalamatan,Addressing mode,
心跳标签,Tag Detak Jantung,Heartbeat tag,
PLC状态,Status PLC,PLC status,
交互信号,Sinyal interaktif,Interactive signals,
新建交互,Interaksi Baru,New interaction,
工序类型,Jenis proses,Process type,
起始索引,Indeks Awal,Starting index,
数量,Jumlah,Quantity,
启动命令索引,Indeks perintah pengaktifan,Start command index,
启动命令标签,Meluncurkan Label Perintah,Start command label,
取数据标签,Ambil Label Data,Get data label,
备用数据标签,Pelabelan data alternatif,Alternate data tag,
界面数据显示,Tampilan Data Antarmuka,Interface data display,
生产顺序,Urutan produksi,Production sequence,
切除信号,Memotong sinyal,Cut signal,
索引,Pengindeksan,Index,
切除工序,Proses eksisi,Excision process,
NG总占比,Persentase total NG,NG overall proportion,
按托盘统计测漏及注液数据,Statistik kebocoran dan data injeksi berdasarkan tray,Statistics of leak detection and injection data by pallet,
开始时间,Waktu mulai,Start time,
结束时间,Waktu selesai,End time,
统计注液,Statistik infus,Statistical injection,
统计测漏,Statistik Kebocoran,Statistical Leakage Detection,
行,Nomor baris,Row,
列,Nomor kolom,Column,
统计各工序数据,Statistik data setiap proses,Statistical data of each process,
生产,Produksi,Production,
工艺,Kerajinan,Craft,
设备,Perangkat,Equipment,
管理员,Administrator,Administrator,
气体浓度记录,Rekaman konsentrasi gas,Gas concentration record,
获取工单,Mengambil tiket kerja,Get work order,
原材料上料,Pemasokan bahan baku,Raw material feeding,
补液或复投,Pemberian cairan atau infus ulang,Rehydration or reinfusion,
锁定导航,Kunci navigasi,Lock navigation,
解锁导航,Buka kunci navigasi,Unlock navigation,
号,Nomor,Number,
CPK:,CPK:,CPK:,
平均值:,Nilai rata-rata:,Average:,
标准差:,Standar deviasi:,Standard deviation:,
注液量上限：,Batas maksimum volume injeksi:,Maximum injection volume:,
注液量标准：,Standar volume injeksi:,Standard for injection volume:,
注液量下限：,Batas bawah volume injeksi:,Minimum injection volume:,
同步本地设定,Sinkronisasi pengaturan lokal,Sync local settings,
选择时间：,Pilih waktu:,Choose time:,
取值数量：,Jumlah nilai:,Number of values:,
计算类型：,Tipe perhitungan:,Calculation type:,
选择服务：,Pilih layanan:,Choose service:,
工序类型：,Jenis proses:,Process Type:,
连接类型：,Tipe koneksi:,Connection type:,
设备通信类型：,Jenis komunikasi perangkat:,Device communication type:,
设备型号：,Model perangkat:,Device model:,
IP或COM：,IP atau COM:,IP or COM:,
端口/波特率：,Port/Baud Rate:,Port/Baud Rate:,
超时时间(ms)：,Waktu tunggu (ms):,Timeout (ms):,
启用设备,Aktifkan perangkat,Enable device,
位置,Posisi,Position,
浓度值,Nilai konsentrasi,Concentration value,
时间,Waktu,Time,
手工组盘出站,Penyimpanan manual keluar stasiun,Handmade plate assembly out of the station,
扫码,Pindai kode,Scan the code,
类型,Tipe,Type,
原材料批次号,Nomor batch bahan baku,Raw material batch number,
必填,Harus diisi,Required,
非必填,Tidak wajib diisi,Not required,
原材料编码,Kode Bahan Baku,Raw material code,
上传MES,Unggah MES,Upload MES,
上料,Pemasokan bahan,Feeding materials,
卸料,Membuang material,Unloading,
生产顺序：,Urutan produksi:,Production Order:,
起始索引 (设备|数据)：,Indeks awal (perangkat|data):,Starting index (device|data):,
数量 (设备|数据)：,Jumlah (perangkat|data):,Quantity (Equipment|Data):,
启动命令标签：,Label perintah untuk memulai:,Start command tag:,
获取数据标签：,Ambil label data:,Obtain data labels:,
备用数据标签：,Label data cadangan:,Backup data label:,
触发地址列表,Daftar alamat pemicu,Trigger Address List,
导入触发标签,Impor tag pemicu,Import trigger tag,
标签,Label,Label,
切除地址列表,Hapus daftar alamat,Remove address list,
导入切除标签,Impor label pemotongan,Import excision label,
服务名：,Nama layanan:,Service name:,
寻址方式：,Metode pengalamatan:,Addressing mode:,
心跳标签：,Label Detak Jantung:,Heartbeat Tag:,
状态标签：,Label status:,Status label:,
起始标签：,Tag awal:,Start Tag:,
信号长度：,Panjang sinyal:,Signal length:,
切除长度：,Panjang pemotongan:,Excised length:,
选择,Pilih,Select,
输入或选择帐号,Masukkan atau pilih akun,Enter or select an account,
输入用户密码,Masukkan kata sandi pengguna,Enter user password,
输入帐号,Masukkan akun,Enter account number,
输入姓名,Masukkan nama,Enter name,
输入用户密码,Masukkan kata sandi pengguna,Enter user password,
选择部门,Pilih departemen,Select department,
联系电话,Nomor telepon,Contact number,
录入三枚指纹,Masukkan tiga sidik jari,Enter three fingerprints,
录入指纹,Rekam sidik jari,Enroll fingerprint,
删除指纹,Hapus sidik jari,Delete fingerprint,
补液,Pemberian cairan,Fluid replenishment,
复投,Reinvestasi,Reinvestment,
手动输入条码,Masukkan kode batang secara manual,Manually input barcode,
清除电池,Bersihkan baterai,Clear the battery,
自动扫码条码长度,Panjang kode batang pemindaian otomatis,Automatic scan code barcode length,
获取,Mendapatkan,Get,
工单号,Nomor tiket,Work Order Number,
信息描述,Deskripsi informasi,Information description,
工单,Tiket kerja,Work order,
型号,Model,Model,
料号,Nomor bahan,Part number,
工单数,Jumlah tiket kerja,Number of work orders,
超产数,Jumlah produksi yang berlebihan,Overproduction number,
生产数,Jumlah produksi,Production number,
解析,Analisis,Analyze,
使用设备索引,Menggunakan indeks perangkat,Use the device index,
注意：未找到设备，正使用数据索引！,Catatan: Tidak ada perangkat yang ditemukan, pengindeksan data sedang digunakan!,Note: No device found, data indexing is being used!,
发送报文,Kirim pesan,Send a message,
返回报文,Kembali ke pesan,Return to message,
接口,Antarmuka,Interface,
耗时(ms),Waktu yang Dikonsumsi (ms),Time Consumed (ms),
信息,Informasi,Information,
读取值：,Nilai baca:,Read values:,
设备：,Peralatan:,Equipment:,
序号：,Nomor seri:,Serial number:,
读取,Membaca,Read,
写入值：,Tulis Nilai:,Write Values:,
写入,Menulis,Write,
跟随系统主题,Ikuti tema sistem,Follow the system theme,
打开系统主题面板,Buka panel Tema Sistem,Open the System Themes panel,
选择模式,Pilih mode,Select the mode,
选择主题色,Pilih warna tema,Choose a theme color,
自动登陆禁用中...,Login otomatis dinonaktifkan...,Auto-login is disabled...,
[ 浏览模式 ],[Mode Penjelajahan],[ Browsing Mode ],
无权限或程序处于运行状态,Tidak ada izin atau program yang berjalan,No permissions or programs running,
登陆有相关权限帐号或停止运行关闭浏览模式,Program Tidak Adai Zin Atou mengangkat Bel Jalan,Tidak Adai Zin Atou Program raised Bel Jalan,
解析,Analisis,Analyze,